ticker,full_10y,dva_shares,dva_spent,dva_cash,dva_avg_price,dva_trades,P_end,A_P_dca,A_extra_shares,A_mix_shares,A_mix_avg_price,A_dca_pure_shares,A_eff_mix,A_eff_dca,A_improvement,B_P_dca,B_extra_shares,B_mix_shares,B_mix_avg_price,B_dca_pure_shares,B_eff_mix,B_eff_dca,B_improvement,n_months,monthly_budget,n_days
1443.T,False,6300,1355110.0708007812,4644889.929199219,215.09683663504464,63,254.0360870361328,231.85204158457674,20000,26300,227.8384373571223,25800,1.1135248481750488,1.092355174255371,1.0193798449612403,239.29671827952066,19400,25700,233.36445157289813,25000,1.0881212394714355,1.0584836959838868,1.0279999999999998,96,62500.0,1961
4733.T,True,700,2269815.2099609375,3730184.7900390625,3242.5931570870534,7,8374.6943359375,4268.283216203962,800,1500,3789.627855282738,1400,2.093673583984375,1.9540953450520833,1.0714285714285714,4757.232905578613,700,1400,3999.9130313328333,1200,1.9540953450520833,1.6749388671875,1.1666666666666665,120,50000.0,2465
3046.T,True,800,3715518.212890625,2284481.787109375,4644.397766113281,8,5480.11328125,5234.5605357776985,400,1200,4841.118689334753,1100,1.09602265625,1.0046874348958332,1.090909090909091,5490.9306365966795,400,1200,4926.575389607748,1000,1.09602265625,0.9133522135416666,1.2,120,50000.0,2465
4519.T,True,700,1014366.0400390625,4985633.9599609375,1449.0943429129463,7,8169.81787109375,2368.209674835205,2100,2800,2138.43084185464,2500,3.812581673177083,3.404090779622396,1.1199999999999999,3422.6862650553385,1400,2100,2764.8222910078744,1700,2.8594362548828123,2.314781730143229,1.2352941176470589,120,50000.0,2465
3994.T,False,900,2576550.0,3423450.0,2862.8333333333335,9,4668.0,3436.8970588235293,900,1800,3149.865196078431,1700,1.4004,1.3226,1.0588235294117647,4100.06,800,1700,3445.0576470588235,1400,1.3226,1.0892,1.2142857142857144,100,60000.0,2033
3445.T,True,1400,2178345.687866211,3821654.312133789,1555.961205618722,14,3770.0,1773.7384395599365,2100,3500,1686.6275459834508,3300,2.1991666666666667,2.0735,1.0606060606060606,2402.7093580881756,1500,2900,1993.9343879305084,2400,1.8221666666666667,1.508,1.2083333333333333,120,50000.0,2465
4194.T,False,400,2925000.0,3074999.9999999977,7312.5,4,10010.0,8237.92857142857,300,700,7709.112244897959,700,1.1678333333333333,1.1678333333333333,1.0,8254.307017543859,300,700,7716.131578947368,700,1.1678333333333333,1.1678333333333333,1.0,57,105263.15789473684,1148
9603.T,True,1800,3194167.5659179688,2805832.4340820312,1774.5375366210938,18,1321.0,2123.60886492048,1300,3100,1920.9222871982558,2800,0.6825166666666667,0.6164666666666667,1.107142857142857,2403.917039489746,1100,2900,2013.267692881617,2400,0.6384833333333333,0.5284,1.2083333333333333,120,50000.0,2465
3659.T,True,1400,2298591.9006347656,3701408.0993652344,1641.851357596261,14,3773.262451171875,1656.6847246955422,2200,3600,1650.9161930458217,3600,2.263957470703125,2.263957470703125,1.0,2037.4030550638834,1800,3200,1864.3491874217987,2900,2.012406640625,1.8237435180664063,1.103448275862069,120,50000.0,2465
4684.T,True,800,1483170.3979492188,4516829.602050781,1853.9629974365234,8,4862.94091796875,2281.7414433405947,1900,2700,2154.9922741838327,2600,2.1883234130859375,2.1072743977864583,1.0384615384615385,3050.662841796875,1400,2200,2615.4992620294743,1900,1.7830783365885416,1.5399312906901041,1.1578947368421053,120,50000.0,2465
7832.T,True,1100,1383277.3132324219,4616722.686767578,1257.5248302112925,11,4120.13525390625,1654.9181823730469,2700,3800,1539.8832646420128,3600,2.609418994140625,2.47208115234375,1.0555555555555558,2237.890575917562,2000,3100,1890.0188596992084,2600,2.1287365478515623,1.785391943359375,1.1923076923076923,120,50000.0,2465
7550.T,True,800,1478342.7734375,4521657.2265625,1847.928466796875,8,8937.6044921875,2683.6863868350074,1600,2400,2405.1004134889636,2200,3.575041796875,3.2771216471354165,1.0909090909090908,3721.907317606608,1200,2000,2972.315777282715,1600,2.979201497395833,2.3833611979166665,1.25,120,50000.0,2465
9766.T,True,700,2449613.2568359375,3550386.7431640625,3499.447509765625,7,21179.505859375,4560.6276448567705,700,1400,4030.0375773111978,1300,4.941884700520833,4.588892936197917,1.0769230769230769,7235.8120524088545,400,1100,4858.125525272254,800,3.8829094075520834,2.8239341145833334,1.375,120,50000.0,2465
7974.T,True,800,2341155.2856445312,3658844.7143554688,2926.444107055664,8,10391.4931640625,3883.1610880533854,900,1700,3432.9413322897517,1500,2.944256396484375,2.597873291015625,1.1333333333333333,5057.461701456706,700,1500,3920.9189844428165,1100,2.597873291015625,1.905107080078125,1.3636363636363635,120,50000.0,2465
6702.T,True,1900,1281995.2880859375,4718004.7119140625,674.7343621504934,19,4282.6083984375,967.4815865209547,4800,6700,884.4637169233612,6200,4.782246044921875,4.42536201171875,1.0806451612903225,1470.2275374094645,3200,5100,1173.8673348620046,4000,3.640217138671875,2.855072265625,1.2750000000000001,120,50000.0,2465
4307.T,True,900,1085852.4841308594,4914147.515869141,1206.5027601453994,9,5961.59619140625,2138.605022289135,2200,3100,1867.994688118373,2800,3.0801580322265627,2.78207822265625,1.1071428571428572,2872.8379056294757,1700,2600,2296.0295860388337,2000,2.583358349609375,1.98719873046875,1.3,120,50000.0,2465
9843.T,True,1100,2843941.30859375,3156058.69140625,2585.401189630682,11,2726.502197265625,2962.775555419922,1000,2100,2765.103268577939,2000,0.9542757690429687,0.9088340657552083,1.05,3134.5826156616213,1000,2100,2846.9161544073195,1900,0.9542757690429687,0.8633923624674479,1.105263157894737,120,50000.0,2465
3349.T,True,500,2471124.31640625,3528875.68359375,4942.2486328125,5,7883.26318359375,6469.551350911458,500,1000,5705.899991861978,900,1.313877197265625,1.1824894775390624,1.1111111111111112,6478.277803548177,500,1000,5710.263218180338,900,1.313877197265625,1.1824894775390624,1.1111111111111112,120,50000.0,2465
2791.T,True,700,2429569.873046875,3570430.126953125,3470.8141043526784,7,5672.89404296875,4963.979787190755,700,1400,4217.396945771717,1200,1.3236752766927082,1.13457880859375,1.1666666666666665,5560.196799723307,600,1300,4435.1445791391225,1000,1.2291270426432293,0.9454823404947916,1.3,120,50000.0,2465
9627.T,True,800,4335695.99609375,1664304.00390625,5419.6199951171875,8,6594.35595703125,6147.257975260417,200,1000,5565.147591145834,900,1.099059326171875,0.9891533935546875,1.1111111111111112,6136.711039225261,200,1000,5563.038203938802,900,1.099059326171875,0.9891533935546875,1.1111111111111112,120,50000.0,2465
4478.T,False,1100,3568600.0,2431399.999999997,3244.181818181818,11,3005.0,3921.3,600,1700,3483.164705882353,1500,0.8514166666666667,0.75125,1.1333333333333335,4562.424657534247,500,1600,3656.1327054794515,1300,0.8013333333333333,0.6510833333333333,1.2307692307692308,73,82191.78082191781,1475
464A.T,False,1700,2328000.0,3672000.0,1369.4117647058824,17,1616.0,1638.4444444444443,2200,3900,1521.1737891737891,3600,1.0504,0.9696,1.0833333333333333,1905.06,1900,3600,1652.115,3100,0.9696,0.8349333333333333,1.1612903225806452,25,240000.0,506
9158.T,False,1700,2357600.0,3642400.0000000023,1386.8235294117646,17,848.0,1576.4342105263158,2300,4000,1495.8496710526315,3800,0.5653333333333334,0.5370666666666667,1.0526315789473684,1891.0645161290322,1900,3600,1652.9507168458779,3100,0.5088,0.4381333333333333,1.1612903225806452,31,193548.38709677418,620
7699.T,False,3100,1919600.0,4080400.0000000023,619.2258064516129,31,809.0,601.8080808080808,6700,9800,607.3177695320552,9900,1.3213666666666666,1.33485,0.9898989898989897,644.4636363636364,6300,9400,636.1405222437137,9300,1.2674333333333334,1.25395,1.0107526881720432,55,109090.90909090909,1104
4375.T,False,2800,2249800.0,3750200.0000000033,803.5,28,842.0,852.4857142857143,4300,7100,833.1674044265593,7000,0.9963666666666666,0.9823333333333333,1.0142857142857142,1029.701923076923,3600,6400,930.7385817307692,5800,0.8981333333333333,0.8139333333333333,1.103448275862069,52,115384.61538461539,1043
6574.T,False,16000,143585.19706726074,5856414.802932735,8.974074816703796,160,111.04273223876953,8.643138230731449,677500,693500,8.650773393493608,694100,12.83468913459778,12.845793407821656,0.9991355712433367,20.10906527375662,291200,307200,19.529117854118454,298300,5.685387890625,5.520674504470826,1.0298357358364063,93,64516.12903225807,1895
2986.T,False,1400,1311400.9811401367,4688599.01885986,936.7149865286691,14,2735.302734375,586.6737118530274,7900,9300,639.3680972880702,10200,4.23971923828125,4.6500146484375,0.9117647058823529,1086.8892443107836,4300,5700,1050.0043388906151,5500,2.59853759765625,2.50736083984375,1.0363636363636364,66,90909.09090909091,1346
5590.T,False,2300,2119200.0,3880799.999999998,921.3913043478261,23,1006.0,949.7539682539683,4000,6300,939.3993449231544,6300,1.0563,1.0563,1.0,981.2142857142857,3900,6200,959.0218894009217,6100,1.0395333333333334,1.0227666666666666,1.016393442622951,28,214285.7142857143,554
6030.T,True,1700,4817284.2041015625,1182715.7958984375,2833.696590647978,17,1644.0,4186.394256591797,200,1900,2976.085818642064,1400,0.5206,0.3836,1.357142857142857,5219.560515340169,200,1900,3084.8401616682086,1100,0.5206,0.3014,1.727272727272727,120,50000.0,2465
2586.T,True,11300,2234200.0,3765800.0,197.71681415929203,113,124.0,151.32575757575756,24800,36100,165.8470578359775,39600,0.7460666666666667,0.8184,0.9116161616161615,346.23333333333335,10800,22100,270.2950226244344,17300,0.4567333333333333,0.3575333333333333,1.277456647398844,120,50000.0,2465
6094.T,True,4300,3858400.0,2141600.0,897.3023255813954,43,519.0,1194.875,1700,6000,981.6145833333334,5000,0.519,0.4325,1.2,1656.4041666666667,1200,5500,1062.9245454545455,3600,0.47575,0.3114,1.5277777777777777,120,50000.0,2465
2998.T,False,2000,1217972.0260620117,4782027.973937989,608.9860130310059,20,919.8912963867188,566.071656436012,8400,10400,574.3244173196646,10500,1.5944782470703125,1.6098097686767578,0.9904761904761904,765.1049155341254,6200,8200,727.0271344358035,7800,1.2571847717285156,1.1958586853027344,1.0512820512820513,45,133333.33333333334,900
6521.T,False,2100,3749500.0,2250499.999999998,1785.4761904761904,21,1512.0,2438.9270833333335,900,3000,1981.5114583333334,2400,0.756,0.6048,1.25,2815.5745614035086,700,2800,2043.0007832080198,2100,0.7056,0.5292,1.3333333333333333,57,105263.15789473684,1161
9162.T,False,3500,1403900.0,4596100.0,401.1142857142857,35,281.0,359.7801204819277,12700,16200,368.71034136546183,16600,0.7587,0.7774333333333333,0.9759036144578314,418.3666666666667,10900,14400,414.17337962962966,14300,0.6744,0.6697166666666666,1.006993006993007,30,200000.0,610
3652.T,True,1700,4045800.0,1954200.0,2379.8823529411766,17,2360.0,2465.1875,700,2400,2404.7630208333335,2400,0.944,0.944,1.0,3161.425,600,2300,2583.763043478261,1800,0.9046666666666666,0.708,1.2777777777777777,120,50000.0,2465
4170.T,False,4600,1796000.0,4204000.000000003,390.4347826086956,46,173.0,313.6125654450262,13400,18000,333.24490983129726,19100,0.519,0.5507166666666666,0.9424083769633509,540.0081967213115,7700,12300,484.0701719312275,11100,0.35465,0.32005,1.1081081081081081,61,98360.65573770492,1230
9348.T,False,4300,2676400.0,3323599.9999999986,622.4186046511628,43,448.0,756.8037974683544,4300,8600,689.6112010597586,7900,0.6421333333333333,0.5898666666666667,1.0886075949367089,859.469696969697,3800,8100,733.6277590722035,6900,0.6048,0.5152,1.173913043478261,33,181818.18181818182,666
2160.T,True,1900,2061033.3312988281,3938966.668701172,1084.75438489412,19,2412.0,1458.146342952077,2700,4600,1303.9192298411817,4100,1.8492,1.6482,1.121951219512195,1780.695834350586,2200,4100,1458.186382163443,3300,1.6482,1.3266,1.2424242424242424,120,50000.0,2465
4582.T,True,9500,2908300.0,3091700.0,306.13684210526316,95,90.0,418.9055944055944,7300,16800,355.13754995004996,14300,0.252,0.2145,1.1748251748251748,667.7833333333333,4600,14100,424.1208037825059,8900,0.2115,0.1335,1.5842696629213482,120,50000.0,2465
7777.T,True,6300,1947600.0,4052400.0,309.14285714285717,63,359.0,295.8217821782178,13600,19900,300.03900691576695,20200,1.1906833333333333,1.2086333333333332,0.9851485148514852,431.5708333333333,9300,15600,382.128766025641,13900,0.9334,0.8316833333333333,1.1223021582733812,120,50000.0,2465
9166.T,False,2700,2069674.838256836,3930325.161743164,766.5462363914207,27,696.22314453125,840.0952086112868,4600,7300,812.8921640916102,7100,0.8470714925130208,0.8238640543619792,1.028169014084507,916.557276916504,4200,6900,857.8573045371236,6500,0.8006566162109375,0.7542417399088541,1.0615384615384615,30,200000.0,594
7806.T,False,1800,2332542.5170898438,3667457.4829101544,1295.856953938802,18,4730.0,1403.6995968702363,2600,4400,1359.5821520346497,4200,3.4686666666666666,3.311,1.0476190476190477,2034.4922468397353,1800,3600,1665.1746003892686,2900,2.838,2.2861666666666665,1.2413793103448276,90,66666.66666666667,1831
3479.T,False,1700,3003300.0,2996699.999999992,1766.6470588235295,17,1795.0,2181.666668927228,1300,3000,1946.4888898684655,2700,0.8975,0.80775,1.1111111111111112,2644.275605975457,1100,2800,2111.429702347501,2200,0.8376666666666667,0.6581666666666667,1.2727272727272727,106,56603.77358490566,2163
3491.T,False,2200,2174522.9553222656,3825477.0446777297,988.4195251464844,22,1771.0,1327.0346346768465,2800,5000,1178.043986483487,4500,1.4758333333333333,1.32825,1.1111111111111112,1485.9396172417535,2500,4700,1253.05787200567,4000,1.3872833333333334,1.1806666666666668,1.175,90,66666.66666666667,1820
4575.T,True,4400,1909300.0,4090700.0,433.9318181818182,44,803.0,606.1173469387755,6700,11100,537.8636238279096,9800,1.48555,1.3115666666666668,1.1326530612244896,745.7791666666667,5400,9800,605.7660714285714,8000,1.3115666666666668,1.0706666666666667,1.225,120,50000.0,2465
4592.T,True,3100,3674500.0,2325500.0,1185.3225806451612,31,1690.0,1312.6666666666667,1700,4800,1230.4236111111113,4500,1.352,1.2675,1.0666666666666667,1900.6583333333333,1200,4300,1384.9511627906977,3100,1.2111666666666667,0.8731666666666666,1.3870967741935485,120,50000.0,2465
3773.T,True,2500,1882850.8483886719,4117149.151611328,753.1403393554688,25,1040.8843994140625,948.8621659051804,4300,6800,876.90561202661,6300,1.1796689860026042,1.0929286193847656,1.0793650793650793,1067.5679187774658,3800,6300,942.7950698004829,5600,1.0929286193847656,0.9714921061197916,1.125,120,50000.0,2465
7803.T,False,4700,1211613.2385253906,4788386.761474613,257.79005075008314,47,293.1647644042969,291.68153492997334,16400,21100,284.13224698468974,20500,1.0309627548217772,1.0016462783813476,1.0292682926829269,313.8179397583008,15200,19900,300.58522225384735,19100,0.972329801940918,0.9332411666870117,1.0418848167539267,78,76923.07692307692,1570
4628.T,True,600,4424496.630859375,1575503.369140625,7374.161051432292,6,10885.7880859375,7997.067766462053,100,700,7463.1477250079715,700,1.2700086100260417,1.2700086100260417,1.0,8229.399334716796,100,700,7496.337949044364,700,1.2700086100260417,1.2700086100260417,1.0,120,50000.0,2465
