ticker,sigma,hurst,corr_bmk,mu,mdd,log_vol,n_days,full_10y
1443.T,0.45747812072793137,0.40392215707435264,0.3178883044775991,-0.032120410391959675,-0.6624619157032906,12.174288443961617,1961,False
4733.T,0.3463240538370579,0.37161086178235064,0.40794582866374446,0.1172521062641898,-0.4771048044740984,11.692395648086048,2465,True
3046.T,0.3670680353153615,0.47316321197615824,0.32764523017662905,0.03244867667683593,-0.6637137339137966,11.685386411869066,2465,True
4519.T,0.31217636915584474,0.431577465041922,0.47115405572653996,0.22618655537128007,-0.43147195050559256,14.757543110289951,2465,True
3994.T,0.575069369341999,0.465337047668069,0.3340122420264659,0.1485318474863122,-0.6947483588621444,13.269428115630896,2033,False
3445.T,0.5036025617529222,0.47959334250002256,0.4752703849601779,0.23473284144466477,-0.7921267405509952,11.906363609218529,2465,True
4194.T,0.4866715730425542,0.46356891876289613,0.3456932337277372,0.08167839298465873,-0.5032437442075997,12.4745237748913,1148,False
9603.T,0.40179807858912725,0.43994047519546253,0.3891789452732617,-0.10164791071866175,-0.7313308902238039,13.827551832834265,2465,True
3659.T,0.4208968913790921,0.47260558929440616,0.39504482075032066,0.15569934937259466,-0.5466944306339262,14.750573018045056,2465,True
4684.T,0.2707998293556117,0.4405723979319766,0.42130590245087124,0.16760930173887956,-0.2725031760757051,13.834034105246856,2465,True
7832.T,0.3107936127272997,0.4518501380430906,0.49818101559292055,0.2084480221548073,-0.33494305919910455,14.728358398687805,2465,True
7550.T,0.2911924124752337,0.48126636520505084,0.40753563044371144,0.2135534115809301,-0.4127478341975395,13.177294227774768,2465,True
9766.T,0.3369263933094919,0.46816288594088273,0.5324976830368874,0.2507533971123792,-0.5924156704435551,13.407818488243972,2465,True
7974.T,0.37134728783245835,0.4257051255994006,0.4392974652422437,0.2398521657387025,-0.43201722878015275,16.39112356029124,2465,True
6702.T,0.3215109828983043,0.42498044340705865,0.5739526322656264,0.24283878462660025,-0.42305741761288784,15.96320501829216,2465,True
4307.T,0.30332913145725193,0.4136296039880195,0.489788712601666,0.1825376281000488,-0.4205273036573322,14.25680365248387,2465,True
9843.T,0.28919143010742576,0.48630754090228157,0.29369494978823,0.041113759327338295,-0.4917235830559903,14.700379224190733,2465,True
3349.T,0.3022609635001205,0.47062126669498894,0.21143994567972807,0.06202737377159462,-0.45942935256094375,12.84512659225479,2465,True
2791.T,0.3303630164716023,0.4846886611139233,0.2947042024838045,0.031196704681563325,-0.603166712716002,10.479317340785846,2465,True
9627.T,0.3219143326397351,0.43456919059792054,0.3099805479348504,0.028374726837191888,-0.5379739651993727,11.92111644207865,2465,True
4478.T,0.6094347857010166,0.43833698729895515,0.352986224022045,0.01845328073247421,-0.8383529411764706,13.174814145728192,1475,False
464A.T,1.0194230211036428,0.5413196857647382,0.3228278149537456,0.5062102842283398,-0.8295454545454546,15.414156895308357,506,False
9158.T,0.6501800999697162,0.3831721333841004,0.33414363041308504,-0.49705859694463617,-0.8158695652173913,12.147270927746401,620,False
7699.T,0.4046279725376931,0.46934639432842784,0.21746467758643795,-0.12332163430752163,-0.6756944444444445,9.607005033754215,1104,False
4375.T,0.6024870603267667,0.5129377614161109,0.35045683884908124,-0.28369474734739086,-0.8704225352112676,12.545244436689162,1043,False
6574.T,0.743244001510683,0.5603498684458224,0.14639570437028876,0.24066146872427785,-0.8040885850187127,14.69039922275505,1895,False
2986.T,0.43398204222419406,0.40309092926177487,0.32569986339602414,0.6970471057701046,-0.41187731130201527,12.262834018780179,1346,False
5590.T,0.6159995402924778,0.39616813070520135,0.2845146339596701,-0.07707950387537132,-0.5425888665325285,11.70268251680904,554,False
6030.T,0.6246133597461926,0.466859772306733,0.3627014611500503,-0.02058443140896793,-0.8751643728612528,11.121627668903077,2465,True
2586.T,0.8640369114255526,0.44687946247786137,0.18293383101808422,-0.20624919604282677,-0.976594027441485,14.576588906779497,2465,True
6094.T,0.6207963884392407,0.42301809794606365,0.2941791199085093,-0.10125051505235005,-0.9060832443970117,11.647122130673441,2465,True
2998.T,0.7424998808566063,0.5531436662374797,0.2266614396709585,0.4227381437418749,-0.7041284313728287,13.429276018132889,900,False
6521.T,0.6216451533023901,0.3777850991662778,0.3544968049483875,-0.15967330100930732,-0.8369781312127237,12.39831916565474,1161,False
9162.T,0.5424360491086025,0.49574242098394933,0.2876652406164471,-0.49938189755335005,-0.8486666666666667,11.84044569075215,610,False
3652.T,0.6882702475644635,0.4440903957539443,0.347750485106349,0.009897910934997922,-0.9316374269005848,11.287651679786682,2465,True
4170.T,0.6548332952819292,0.44157708088906295,0.31071431089422713,-0.33530062787049497,-0.9470417873396773,13.072974353466371,1230,False
9348.T,0.7826509212590373,0.3115142433699278,0.28449522304466435,-0.31142097995327744,-0.8090569561157797,14.79712731950344,666,False
2160.T,0.7105407700891232,0.44845883925662616,0.3477126282224019,0.15625643471888795,-0.7472750316856781,14.07992357734703,2465,True
4582.T,0.6989975981543446,0.4769006620081961,0.28862087819754195,-0.21790388197809119,-0.9636813867106893,13.97938684032447,2465,True
7777.T,0.6581890781246144,0.40108354982180633,0.26164440254283305,-0.10198600651250944,-0.9125874125874126,13.90199956104886,2465,True
9166.T,0.6885968322909837,0.4324526468428651,0.3719655642667755,0.1451946684826977,-0.6115569989368768,14.968552306379946,594,False
7806.T,0.5400773741410102,0.5611929867789164,0.2726090752993014,-0.05450228151900016,-0.9357857607589408,11.994688027920091,1831,False
3479.T,0.5854108033364712,0.4917803836225877,0.3889202661153789,0.01088855715257031,-0.8383701188455008,12.648019562582043,2163,False
3491.T,0.6972821936742865,0.4367675937289388,0.32380882066246597,0.09503752997587078,-0.8384615329014798,12.773218130183638,1820,False
4575.T,0.7336341428933407,0.48671754316225563,0.25722453109817445,-0.007283875093689218,-0.8650662251655629,13.14974715801175,2465,True
4592.T,0.7653215038408206,0.4607345556911233,0.2521637543163733,0.05227735229267383,-0.9666951323654995,13.940220859467765,2465,True
3773.T,0.5005955279119091,0.4829948878920668,0.40945640740029376,0.05357183478205996,-0.8057184665621643,12.10399154499477,2465,True
7803.T,0.5430632119787847,0.4790839753324221,0.41113667894660433,0.021404235570930963,-0.7269459793612313,14.244207181745683,1570,False
4628.T,0.22645785460903942,0.451380234326891,0.12414226030742817,0.008105117938530304,-0.48702736015311326,7.816940093296007,2465,True
2782.T,0.3240059798333686,0.5072290760097891,0.13410387921543587,0.0399119243535333,-0.6826243631434527,12.368320443447518,2465,True
8871.T,0.29295373893215504,0.45012484817878234,0.4355120710637349,0.0837551514614312,-0.4725814750659127,11.35846639073832,2465,True
