score_threshold,w_shortage,w_value,w_bb,w_trend,w_risk,value_band,risk_ratio,max_lots_per_trade,lot_size,all_A_mean,all_A_median,all_A_winrate,all_B_mean,all_B_median,all_B_winrate,full_A_mean,full_B_mean,is_A_mean,is_B_mean,oos_A_mean,oos_B_mean,combo_score
0.4,0.05,0.05,0.25,0.65,-0.2,0.15,1.0,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.4,0.05,0.05,0.25,0.65,-0.2,0.15,1.3,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.4,0.05,0.05,0.25,0.65,-0.2,0.25,1.0,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.4,0.05,0.05,0.25,0.65,-0.2,0.25,1.3,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.4,0.05,0.05,0.25,0.65,-0.1,0.15,1.0,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.4,0.05,0.05,0.25,0.65,-0.1,0.15,1.3,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.4,0.05,0.05,0.25,0.65,-0.1,0.25,1.0,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.4,0.05,0.05,0.25,0.65,-0.1,0.25,1.3,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.55,0.05,0.05,0.25,0.65,-0.2,0.15,1.0,2,100,1.0137930073968515,1.0,0.4857142857142857,1.2317673184145812,1.175,0.9714285714285714,1.0119622523461258,1.2248556431801179,1.0120051676449249,1.102066342707158,1.0061265961774704,1.1250665808808133,1.009959801787161
0.55,0.05,0.05,0.25,0.65,-0.2,0.15,1.3,2,100,1.012696205926047,1.0,0.49523809523809526,1.2496479617418241,1.1690140845070423,0.9809523809523809,1.0135599512571256,1.2306174832426735,1.0136607780980278,1.1097179010236027,1.010543432853413,1.1362908536898648,1.01161981938973
0.55,0.05,0.05,0.25,0.65,-0.2,0.25,1.0,2,100,1.0132611316086406,1.004950495049505,0.5142857142857142,1.230671030596645,1.175,0.9809523809523809,1.0108421986569218,1.2234420638226442,1.0100251927738138,1.09866903469762,1.0082243281404595,1.1248053519234718,1.0107427298745502
0.55,0.05,0.05,0.25,0.65,-0.2,0.25,1.3,2,100,1.0129304237453374,1.0,0.49523809523809526,1.2505386780881753,1.1764705882352942,0.9809523809523809,1.0140713585009213,1.232192873094252,1.0132120490736323,1.1077345014588258,1.0108580566721461,1.1357641258485054,1.0118942402087416
0.55,0.05,0.05,0.25,0.65,-0.1,0.15,1.0,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.55,0.05,0.05,0.25,0.65,-0.1,0.15,1.3,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.55,0.05,0.05,0.25,0.65,-0.1,0.25,1.0,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.55,0.05,0.05,0.25,0.65,-0.1,0.25,1.3,2,100,1.0113372492945045,1.0,0.49523809523809526,1.2671133217165134,1.174825174825175,0.9714285714285714,1.014717377419147,1.2381086053969232,1.0069861446873023,1.1054989915566895,1.0091009070713073,1.1361841956352248,1.010219078182906
0.65,0.05,0.05,0.25,0.65,-0.2,0.15,1.0,2,100,1.0028283743586326,1.0,0.42857142857142855,1.1939625360478088,1.1363636363636365,0.9523809523809523,1.0029863452786247,1.2018311052620905,1.0052365789217836,1.084864003967548,1.0153565843291101,1.122858589887684,1.0090924793438714
0.65,0.05,0.05,0.25,0.65,-0.2,0.15,1.3,2,100,1.0139670310792757,1.0,0.49523809523809526,1.2252724170888554,1.1666666666666665,0.9904761904761905,1.0129895895587462,1.2235297803817546,1.0110262212511725,1.0982656906358974,1.0098831004892812,1.1266349238202011,1.0119250657842784
0.65,0.05,0.05,0.25,0.65,-0.2,0.25,1.0,2,100,1.001278709987429,1.0,0.42857142857142855,1.1895194730667227,1.141732283464567,0.9333333333333333,1.0007138639235054,1.197407644790536,1.0044453613641848,1.0844200849958894,1.0152104577202765,1.1215967804473566,1.0082445838538527
0.65,0.05,0.05,0.25,0.65,-0.2,0.25,1.3,2,100,1.0131180156561348,1.0,0.4857142857142857,1.2230208238938576,1.1666666666666665,0.9714285714285714,1.0115788975093731,1.2204763873267706,1.0105932639256998,1.0973150163539036,1.0110220366467553,1.126855445894747,1.012070026151445
0.65,0.05,0.05,0.25,0.65,-0.1,0.15,1.0,2,100,1.0137111174495999,1.0,0.4857142857142857,1.2186826257822956,1.1666666666666665,0.9714285714285714,1.013458486040641,1.2213610045594578,1.0117674950952984,1.095340286899038,1.016874659199706,1.1290911250691573,1.015292888324653
0.65,0.05,0.05,0.25,0.65,-0.1,0.15,1.3,2,100,1.015189283568335,1.0066225165562914,0.5238095238095238,1.2366799956678327,1.175,0.9714285714285714,1.0133367865628429,1.2285385137304754,1.0161214267141372,1.1070869620657957,1.0085501270303445,1.1286385821789418,1.0118697052993397
0.65,0.05,0.05,0.25,0.65,-0.1,0.25,1.0,2,100,1.013108611277436,1.0069444444444444,0.5238095238095238,1.2140260629697088,1.1666666666666665,0.9714285714285714,1.0123824942732205,1.21666992284863,1.0094098585385747,1.0926169936204386,1.0160194923275192,1.1281945398519297,1.0145640518024774
0.65,0.05,0.05,0.25,0.65,-0.1,0.25,1.3,2,100,1.01730057478365,1.0077519379844961,0.5333333333333333,1.237308537784684,1.1764705882352942,0.9809523809523809,1.0142871831344349,1.2289328575756493,1.0143710460799789,1.1036887724974345,1.0102132110383895,1.1291168199699921,1.0137568929110197
0.4,0.05,0.05,0.45,0.45,-0.2,0.15,1.0,2,100,1.0124148538471611,1.0020408163265306,0.5047619047619047,1.2188998848885328,1.1590909090909092,0.9619047619047619,1.0114004054101875,1.2182641908246292,1.0097757143188693,1.095366608511988,1.0118109623237221,1.125573467717622,1.0121129080854416
0.4,0.05,0.05,0.45,0.45,-0.2,0.15,1.3,2,100,1.0177566946080707,1.0033444816053514,0.5047619047619047,1.2427561680916877,1.1764705882352942,0.9714285714285714,1.0155545176422263,1.229415280188927,1.012796048609974,1.1044096566683625,1.0087746747835165,1.1290813180133459,1.0132656846957935
0.4,0.05,0.05,0.45,0.45,-0.2,0.25,1.0,2,100,1.0110504779387046,1.0,0.4857142857142857,1.2159372230626733,1.1590909090909092,0.9619047619047619,1.0096145096416775,1.2152169349470614,1.0089144874103602,1.0944077592983337,1.0120975899511087,1.125934236284351,1.0115740339449066
0.4,0.05,0.05,0.45,0.45,-0.2,0.25,1.3,2,100,1.0155336140957298,1.0,0.49523809523809526,1.2396165299904736,1.1830985915492955,0.9714285714285714,1.0143740831170773,1.2291391680706265,1.012721558915945,1.1042955061429545,1.009336110878347,1.128607631599478,1.0124348624870385
0.4,0.05,0.05,0.45,0.45,-0.1,0.15,1.0,2,100,1.0128684502687866,1.0,0.4666666666666667,1.2517058000319494,1.1794871794871793,0.9714285714285714,1.012851815608133,1.2323955049866402,1.0180966944575962,1.1152946724104305,1.007328222102388,1.1307252643132961,1.0100983361855873
0.4,0.05,0.05,0.45,0.45,-0.1,0.15,1.3,2,100,1.0107122727320899,1.0,0.49523809523809526,1.2569513201595084,1.1818181818181819,0.9714285714285714,1.011879684030416,1.2329325829122904,1.0123570633012535,1.108762752655975,1.0108002880956934,1.1357798953779048,1.0107562804138917
