window_size,bb_sd_mult,value_drop_ratio,score_threshold,execution_mix_lambda,取得株数,平均単価
50,2.5,0.2,0.4,0.5,6800,863.1329588048599
50,2.5,0.2,0.4,0.8,6800,863.1329588048599
50,2.5,0.15,0.4,0.5,6800,863.1707871380975
50,2.5,0.15,0.4,0.8,6800,863.1707871380975
20,2.0,0.15,0.45,0.5,6800,864.4091653262867
20,2.0,0.15,0.45,0.8,6800,864.4091653262867
50,2.0,0.15,0.4,0.5,6800,865.7006099925321
50,2.0,0.15,0.4,0.8,6800,865.7006099925321
20,2.0,0.2,0.4,0.5,6800,865.9426960664637
20,2.0,0.2,0.4,0.8,6800,865.9426960664637
50,2.5,0.15,0.45,0.5,6800,866.4673515768612
50,2.5,0.15,0.45,0.8,6800,866.4673515768612
20,2.5,0.15,0.45,0.5,6800,866.5058234719669
20,2.5,0.15,0.45,0.8,6800,866.5058234719669
20,2.0,0.2,0.45,0.5,6800,866.694772159352
20,2.0,0.2,0.45,0.8,6800,866.694772159352
20,2.5,0.2,0.45,0.5,6800,866.694772159352
20,2.5,0.2,0.45,0.8,6800,866.694772159352
20,2.5,0.15,0.4,0.5,6800,868.6211808148553
20,2.5,0.15,0.4,0.8,6800,868.6211808148553
20,2.5,0.2,0.4,0.5,6800,868.6211808148553
20,2.5,0.2,0.4,0.8,6800,868.6211808148553
50,2.0,0.2,0.4,0.5,6800,869.1647796630859
50,2.0,0.2,0.4,0.8,6800,869.1647796630859
50,2.5,0.2,0.45,0.5,6800,869.6865117690143
50,2.5,0.2,0.45,0.8,6800,869.6865117690143
50,2.0,0.15,0.45,0.5,6800,869.8753330006319
50,2.0,0.15,0.45,0.8,6800,869.8753330006319
20,2.0,0.15,0.4,0.5,6800,870.2303035960477
20,2.0,0.15,0.4,0.8,6800,870.2303035960477
50,2.0,0.2,0.45,0.5,6800,870.4564110251034
50,2.0,0.2,0.45,0.8,6800,870.4564110251034
