date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2014-01-02,17.140668869018555,17.140668869018555,,,0.14749715476430347,500.0,500.0,0,0.35,0.0,0.0,0.0,29,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2014-01-03,16.7641544342041,17.10481035141718,,,0.14749715476430347,500.0,500.0,0,0.534852643371956,0.1542775334035564,1.0,0.4079942733824895,29,2,2,2,33.5283088684082,1.0,0.0995789810627315,0.0,1.0,0.0
2014-01-06,16.85556983947754,17.08107315980388,,,0.14749715476430347,466.4716911315918,500.0,2,0.4991898943522898,0.08943617154961775,1.0,0.36260532008473245,27,2,2,2,33.71113967895508,0.9316757073607845,0.06600970507432936,0.0,1.0,0.0
2014-01-07,16.735031127929688,17.04811677581586,,,0.14749715476430347,432.7605514526367,500.0,4,0.4844037133613741,0.06255220611158926,1.0,0.3437865442781125,25,2,2,2,33.470062255859375,0.8636150657934731,0.09182411523902445,0.0,1.0,0.0
2014-01-08,16.84100341796875,17.028391694116134,,,0.14749715476430347,399.29048919677734,500.0,6,0.44773856203106954,0.0,0.0,0.0,23,0,0,0,0.0,0.7956592996706063,0.05502230613244971,0.0,1.0,0.0
2014-01-09,16.625953674316406,16.99006426365902,,,0.14749715476430347,399.29048919677734,500.0,6,0.466145621864984,0.029355676118152676,1.0,0.32054897328270693,24,2,2,2,33.25190734863281,0.7961192288360918,0.10715397649243397,0.0,1.0,0.0
2014-01-10,16.515003204345703,16.944820353248225,,,0.14749715476430347,366.03858184814453,500.0,8,0.44949897268411365,0.0,0.0,0.0,22,0,0,0,0.0,0.7288828743480285,0.12682847617801055,0.0,1.0,0.0
2014-01-13,16.60146713256836,16.912120046516808,,,0.14749715476430347,366.03858184814453,500.0,8,0.437437275592909,0.0,0.0,0.0,22,0,0,0,0.0,0.7294060792557311,0.09184327958115167,0.0,1.0,0.0
2014-01-14,16.931808471679688,16.91399513462756,,,0.14749715476430347,366.03858184814453,500.0,8,0.25528162724608566,0.0,0.0,0.0,21,0,0,0,0.0,0.729376077845959,0.0,0.0,0.0,0.0
2014-01-15,17.27174949645996,16.948066978611596,,,0.14749715476430347,366.03858184814453,500.0,8,0.2550908249197751,0.0,0.0,0.0,21,0,0,0,0.0,0.7288309283422145,0.0,0.0,0.0,0.0
2014-01-16,17.17537498474121,16.969715360147752,,,0.14749715476430347,366.03858184814453,500.0,8,0.25496959398317254,0.0,0.0,0.0,21,0,0,0,0.0,0.7284845542376359,0.0,0.0,0.0,0.0
2014-01-17,16.754545211791992,16.94922296506625,,,0.14749715476430347,366.03858184814453,500.0,8,0.425184745905285,0.0,0.0,0.0,21,0,0,0,0.0,0.7288124325589399,0.05742969859901729,0.0,1.0,0.0
2014-01-21,17.01485252380371,16.955473399231725,,,0.14749715476430347,366.03858184814453,500.0,8,0.2550493489643023,0.0,0.0,0.0,21,0,0,0,0.0,0.7287124256122924,0.0,0.0,0.0,0.0
