date,price,score,q_score,q_cash,q_exec,buy_lots,buy_shares,cost,cash_after,contribution_cum,shares_after,shortage,value,bb,trend,risk
2014-01-03,16.7641544342041,0.534852643371956,0.1542775334035564,1.0,0.4079942733824895,2,2,33.5283088684082,466.4716911315918,500.0,2,1.0,0.0995789810627315,0.0,1.0,0.0
2014-01-06,16.85556983947754,0.4991898943522898,0.08943617154961775,1.0,0.36260532008473245,2,2,33.71113967895508,432.7605514526367,500.0,4,0.9316757073607845,0.06600970507432936,0.0,1.0,0.0
2014-01-07,16.735031127929688,0.4844037133613741,0.06255220611158926,1.0,0.3437865442781125,2,2,33.470062255859375,399.29048919677734,500.0,6,0.8636150657934731,0.09182411523902445,0.0,1.0,0.0
2014-01-09,16.625953674316406,0.466145621864984,0.029355676118152676,1.0,0.32054897328270693,2,2,33.25190734863281,366.03858184814453,500.0,8,0.7961192288360918,0.10715397649243397,0.0,1.0,0.0
2014-01-28,15.695673942565918,0.5273599043275289,0.14065437150459795,1.0,0.3984580600532186,2,2,31.391347885131836,334.6472339630127,500.0,10,0.7300775627439999,0.34809359247751126,0.0,1.0,0.0
2014-01-29,15.517486572265625,0.51074087903259,0.11043796187743637,1.0,0.3773065733142055,2,2,31.03497314453125,303.61226081848145,500.0,12,0.6651734596323512,0.36551476617504886,0.0,1.0,0.0
2014-01-30,15.487425804138184,0.6298173526195243,0.3269406411264078,1.0,0.5288584487884855,3,3,46.46227741241455,257.1499834060669,500.0,15,0.601074211477094,0.3412610817215469,1.0,1.0,0.0
2014-04-04,16.57894515991211,0.4634454226985793,0.02444622308832598,1.0,0.3171123561618282,2,2,33.15789031982422,1723.9920930862427,2000.0,17,0.8748089321428234,0.0339073374948876,0.0,1.0,0.02302635837309741
2014-04-07,16.31865119934082,0.47526227430995605,0.045931407836283696,1.0,0.33215198548539865,2,2,32.63730239868164,1691.354790687561,2000.0,19,0.8584191397660319,0.10143761786813708,0.0,1.0,0.053437954310015634
2014-04-08,16.317707061767578,0.4746883684489646,0.04488794263448109,1.0,0.3314215598441368,2,2,32.635414123535156,1658.7193765640259,2000.0,21,0.8420691598727916,0.09221197829601695,0.0,1.0,0.01155014955059186
2014-04-10,16.318954467773438,0.4673509091314434,0.03154710751171524,1.0,0.32208297525820073,2,2,32.637908935546875,1626.081467628479,2000.0,23,0.8258335452430668,0.08088333798962864,0.0,1.0,0.0
2014-04-11,16.19831657409668,0.4705969063277935,0.03744892059598815,1.0,0.32621424441719177,2,2,32.39663314819336,1593.6848344802856,2000.0,25,0.8096722729386202,0.10631888799793274,0.0,1.0,0.0
2014-04-14,16.262840270996094,0.45525278236118516,0.009550513383972998,1.0,0.30668535936878116,2,2,32.52568054199219,1561.1591539382935,2000.0,27,0.7934641749275815,0.07868663181866196,0.0,1.0,0.0
2014-04-15,16.14687728881836,0.4582067012219485,0.014921274948997268,1.0,0.31044489246429813,2,2,32.29375457763672,1528.8653993606567,2000.0,29,0.7774247229864703,0.10316585193338258,0.0,1.0,0.0
2014-10-15,21.510316848754883,0.4641387008402687,0.025706728800488528,1.0,0.31799471016034203,2,2,43.020633697509766,4485.844765663147,5000.0,31,0.8722947134744244,0.11532211715477061,0.0,1.0,0.1576359493997479
2014-10-16,21.228036880493164,0.6214865542508324,0.3117937350015135,1.0,0.5182556145010595,3,3,63.68411064147949,4422.1606550216675,5000.0,34,0.8639539970019879,0.16289248641208395,1.0,1.0,0.18954857472046416
2015-01-05,23.5327205657959,0.637533551449735,0.3409700935449727,1.0,0.5386790654814809,3,3,70.5981616973877,5851.56249332428,6500.0,37,0.8709254098349476,0.23166292860390506,1.0,1.0,0.24186183501931757
2015-01-06,23.53493309020996,0.47834856670863585,0.05154284856115606,1.0,0.3360799939928093,2,2,47.06986618041992,5804.49262714386,6500.0,39,0.8601550891156701,0.21011955958275325,0.0,1.0,0.2312378016790615
2015-01-07,23.864946365356445,0.45703918177830827,0.012798512324196829,1.0,0.30895895862693784,2,2,47.72989273071289,5756.762734413147,6500.0,41,0.8529972777972886,0.12969297280477143,0.0,1.0,0.18451202966206393
2015-06-23,28.364192962646484,0.45399046192120274,0.007255385311277683,1.0,0.30507876971789444,2,2,56.72838592529297,8200.034348487854,9000.0,43,0.8697292791608745,0.04053343692615717,0.0,1.0,0.07300744354629174
2015-06-25,28.469131469726562,0.45927720759017443,0.016867650163953488,1.0,0.3118073551147675,2,2,56.938262939453125,8143.096085548401,9000.0,45,0.8634285031113365,0.020220661432018935,0.0,1.0,0.0
2015-06-26,28.301673889160156,0.4657175274606128,0.028577322655659595,1.0,0.32000412585896176,2,2,56.60334777832031,8086.492737770081,9000.0,47,0.8572111299976233,0.04483894846127045,0.0,1.0,0.0
2015-06-29,27.80597686767578,0.6397203823849773,0.3449461497908678,1.0,0.5414623048536075,3,3,83.41793060302734,8003.074807167053,9000.0,50,0.8512388676826137,0.11939079627446447,1.0,1.0,0.0
2015-06-30,28.00693130493164,0.4713792456540977,0.03887135573472311,1.0,0.3272099490143062,2,2,56.01386260986328,7947.06094455719,9000.0,52,0.8419970439663592,0.07622937218820583,0.0,1.0,0.0
2015-07-01,28.268184661865234,0.4551457920996792,0.009355985635780347,1.0,0.30654918994504626,2,2,56.53636932373047,8390.52457523346,9500.0,54,0.844415353855355,0.027429766429442635,0.0,1.0,0.0
2015-07-02,28.232458114624023,0.4541703396759258,0.007582435774410513,1.0,0.30530770504208743,2,2,56.46491622924805,8334.059659004211,9500.0,56,0.8385350847557758,0.03052302860401237,0.0,1.0,0.0
