threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.6,0.45,0.45,0.2,0.15,0.1,515,17467.593106269836,42532.40689373016,227,33.91765651702881
0.4,0.6,0.45,0.45,0.15,0.15,0.1,503,16170.13906955719,43829.86093044281,227,32.147393776455644
0.4,0.7,0.45,0.45,0.2,0.15,0.1,499,16252.405591011047,43747.59440898895,233,32.56995108419048
0.4,0.6,0.45,0.45,0.1,0.15,0.1,491,15141.42231464386,44858.57768535614,223,30.837927321066925
0.4,0.7,0.45,0.45,0.15,0.15,0.1,490,15600.595387458801,44399.4046125412,231,31.837949770324084
0.4,0.7,0.45,0.45,0.1,0.15,0.1,483,14837.27523803711,45162.72476196289,232,30.718996352043703
0.4,0.6,0.45,0.35,0.2,0.15,0.1,475,15539.172358512878,44460.82764148712,216,32.71404707055343
0.4,0.8,0.45,0.45,0.2,0.15,0.1,473,15621.886877059937,44378.11312294006,271,33.02724498321339
0.4,0.6,0.45,0.45,0.2,0.15,0.2,470,16439.87912082672,43560.12087917328,206,34.978466214524936
0.4,0.7,0.45,0.35,0.2,0.15,0.1,466,15154.38454914093,44845.61545085907,219,32.52013851746981
0.4,0.8,0.45,0.45,0.15,0.15,0.1,464,14904.292719841003,45095.707280159,275,32.12132051689871
0.4,0.6,0.45,0.35,0.15,0.15,0.1,464,14464.780203819275,45535.219796180725,213,31.174095266851886
0.4,0.7,0.45,0.45,0.2,0.15,0.2,459,15667.130759239197,44332.8692407608,212,34.13318248200261
0.4,0.6,0.45,0.45,0.15,0.15,0.2,456,14808.326878547668,45191.67312145233,203,32.47440104944664
0.4,0.7,0.45,0.35,0.15,0.15,0.1,456,14102.757627487183,45897.24237251282,216,30.92710006027891
0.4,0.8,0.45,0.45,0.1,0.15,0.1,452,13689.922221183777,46310.07777881622,273,30.287438542441983
0.4,0.6,0.45,0.45,0.1,0.15,0.2,447,14123.319211006165,45876.680788993835,201,31.59579241835831
0.4,0.6,0.45,0.35,0.1,0.15,0.1,447,12511.119193077087,47488.88080692291,206,27.989080968852544
0.4,0.7,0.45,0.45,0.15,0.15,0.2,446,14485.133193016052,45514.86680698395,209,32.47787711438577
0.4,0.6,0.35,0.45,0.2,0.15,0.1,443,16005.804985046387,43994.19501495361,194,36.130485293558436
0.4,0.7,0.45,0.35,0.1,0.15,0.1,442,12463.080839157104,47536.919160842896,214,28.19701547320612
0.4,0.7,0.45,0.45,0.1,0.15,0.2,439,13935.136827468872,46064.86317253113,209,31.742908490817477
0.45,0.6,0.45,0.45,0.2,0.15,0.1,438,14752.812923431396,45247.1870765686,192,33.68222128637305
0.4,0.8,0.45,0.35,0.2,0.15,0.1,438,14260.390309333801,45739.6096906662,265,32.55796874277124
0.4,0.6,0.45,0.45,0.2,0.1,0.1,435,14557.718001365662,45442.28199863434,193,33.46601839394405
0.4,0.6,0.35,0.45,0.15,0.15,0.1,434,14982.160316467285,45017.839683532715,195,34.5211067199707
0.4,0.6,0.45,0.25,0.2,0.15,0.1,434,14182.164891242981,45817.83510875702,199,32.6777992885783
0.4,0.6,0.45,0.35,0.2,0.15,0.2,432,14762.742480278015,45237.257519721985,195,34.17301500064355
0.4,0.7,0.35,0.45,0.2,0.15,0.1,431,15111.57059764862,44888.42940235138,199,35.06164871844228
0.45,0.7,0.45,0.45,0.2,0.15,0.1,430,14286.666180610657,45713.33381938934,196,33.224805071187575
0.4,0.7,0.45,0.25,0.2,0.15,0.1,430,13984.27436542511,46015.72563457489,201,32.5215682916863
0.4,0.8,0.45,0.45,0.2,0.15,0.2,429,14835.524250984192,45164.47574901581,235,34.581641610685764
0.4,0.7,0.45,0.45,0.2,0.1,0.1,429,14285.348467826843,45714.65153217316,199,33.29918057768495
0.4,0.7,0.35,0.45,0.15,0.15,0.1,427,14717.374899864197,45282.6251001358,199,34.46692014019718
0.4,0.6,0.45,0.45,0.15,0.1,0.1,427,13673.60530757904,46326.39469242096,193,32.022494865524685
0.4,0.6,0.45,0.45,0.2,0.15,0.3,426,14744.486260414124,45255.51373958588,184,34.611470094868835
0.45,0.6,0.45,0.45,0.15,0.15,0.1,426,13619.431453704834,46380.568546295166,189,31.97049637019914
0.4,0.7,0.45,0.35,0.2,0.15,0.2,425,14462.775752067566,45537.224247932434,199,34.03006059310015
0.4,0.6,0.35,0.45,0.1,0.15,0.1,424,13964.859848022461,46035.14015197754,192,32.93599020760014
0.4,0.8,0.45,0.35,0.15,0.15,0.1,424,12920.185448646545,47079.814551353455,267,30.47213549209091
0.45,0.7,0.45,0.45,0.15,0.15,0.1,423,13491.465538978577,46508.53446102142,196,31.89471758623777
0.4,0.7,0.45,0.45,0.15,0.1,0.1,420,13366.812205314636,46633.187794685364,197,31.825743345987227
