date,price,ema20,bb_low,vol,mkt_vol,cash_before_trade,contribution_cum,shares_before_trade,score,q_score,q_cash,q_exec,affordable_lots,wish_lots,buy_lots,buy_shares,cost,shortage,value,bb,trend,risk
2014-01-02,0.3738436698913574,0.3738436698913574,,,0.14749715476430347,500.0,500.0,0,0.35,0.0,0.0,0.0,1337,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2014-01-03,0.3693651258945465,0.37341714189166114,,,0.14749715476430347,500.0,500.0,0,0.5189895620726697,0.1254355674048539,1.0,0.3878048971833978,1353,2,2,2,0.738730251789093,1.0,0.054255891636199136,0.0,1.0,0.0
2014-01-06,0.37431517243385315,0.3735026686099651,,,0.14749715476430347,499.2612697482109,500.0,2,0.349477096263946,0.0,0.0,0.0,1333,0,0,0,0.0,0.9985059893255601,0.0,0.0,0.0,0.0
2014-01-07,0.3804437518119812,0.37416372415301424,,,0.14749715476430347,499.2612697482109,500.0,2,0.34947617078618576,0.0,0.0,0.0,1312,0,0,0,0.0,0.9985033451033879,0.0,0.0,0.0,0.0
2014-01-08,0.3856295943260193,0.37525571178853856,,,0.14749715476430347,499.2612697482109,500.0,2,0.34947464200349604,0.0,0.0,0.0,1294,0,0,0,0.0,0.9984989771528459,0.0,0.0,0.0,0.0
2014-01-09,0.3712508976459503,0.3748743009178159,,,0.14749715476430347,499.2612697482109,500.0,2,0.516390061075506,0.12070920195546543,1.0,0.3844964413688258,1344,2,2,2,0.7425017952919006,0.9985005027963287,0.048328243133688664,0.0,1.0,0.0
2014-01-10,0.37077945470809937,0.37448431556450956,,,0.14749715476430347,498.518767952919,500.0,4,0.5162646029173361,0.12048109621333836,1.0,0.38433676734933686,1344,2,2,2,0.7415589094161987,0.9970041254754839,0.04946616857404791,0.0,1.0,0.0
2014-01-13,0.36205801367759705,0.3733008582419465,,,0.14749715476430347,497.7772090435028,500.0,6,0.5511375549692131,0.18388646358038746,1.0,0.4287205245062713,1374,2,2,2,0.7241160273551941,0.9955203897010967,0.15058691021094084,0.0,1.0,0.0
2014-01-14,0.37337231636047363,0.3733076637770443,,,0.14749715476430347,497.0530930161476,500.0,8,0.34790947708284853,0.0,0.0,0.0,1331,0,0,0,0.0,0.9940270773795673,0.0,0.0,0.0,0.0
2014-01-15,0.377379447221756,0.37369545267654064,,,0.14749715476430347,497.0530930161476,500.0,8,0.34790730546501136,0.0,0.0,0.0,1317,0,0,0,0.0,0.9940208727571753,0.0,0.0,0.0,0.0
2014-01-16,0.3785580098628998,0.37415855336095577,,,0.14749715476430347,497.0530930161476,500.0,8,0.3479047121011786,0.0,0.0,0.0,1313,0,0,0,0.0,0.9940134631462247,0.0,0.0,0.0,0.0
2014-01-17,0.3769080936908722,0.3744204143447573,,,0.14749715476430347,497.0530930161476,500.0,8,0.34790324567966935,0.0,0.0,0.0,1318,0,0,0,0.0,0.9940092733704838,0.0,0.0,0.0,0.0
2014-01-21,0.3783223330974579,0.37479202565453834,,,0.14749715476430347,497.0530930161476,500.0,8,0.3479011646563346,0.0,0.0,0.0,1313,0,0,0,0.0,0.9940033275895274,0.0,0.0,0.0,0.0
2014-01-22,0.37785083055496216,0.3750833404069596,,,0.14749715476430347,497.0530930161476,500.0,8,0.34789953329372103,0.0,0.0,0.0,1315,0,0,0,0.0,0.9939986665534887,0.0,0.0,0.0,0.0
2014-01-23,0.37643659114837646,0.3752122214299517,,,0.14749715476430347,497.0530930161476,500.0,8,0.34789881155999225,0.0,0.0,0.0,1320,0,0,0,0.0,0.9939966044571208,0.0,0.0,0.0,0.0
