threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.6,0.45,0.45,0.2,0.15,0.1,1781,6952.589307457209,53047.41069254279,668,3.9037559278254963
0.4,0.6,0.45,0.45,0.15,0.15,0.1,1776,6893.331251293421,53106.66874870658,668,3.8813802090616107
0.4,0.6,0.45,0.45,0.1,0.15,0.1,1769,6923.081379175186,53076.918620824814,671,3.913556460811298
0.4,0.6,0.45,0.35,0.2,0.15,0.1,1676,5712.551163166761,54287.44883683324,644,3.4084434147773037
0.4,0.6,0.45,0.35,0.15,0.15,0.1,1674,5771.748025983572,54228.25197401643,646,3.447878151722564
0.4,0.6,0.45,0.35,0.1,0.15,0.1,1666,5754.755699276924,54245.244300723076,647,3.454235113611599
0.4,0.7,0.45,0.45,0.2,0.15,0.1,1657,6895.948351442814,53104.051648557186,692,4.161706910949194
0.4,0.7,0.45,0.45,0.15,0.15,0.1,1648,6843.474311381578,53156.52568861842,692,4.152593635547074
0.4,0.7,0.45,0.45,0.1,0.15,0.1,1644,6865.612062484026,53134.387937515974,695,4.176163055038945
0.4,0.6,0.45,0.25,0.2,0.15,0.1,1582,4768.391736865044,55231.608263134956,624,3.014154068814819
0.4,0.6,0.45,0.25,0.15,0.15,0.1,1575,4798.380752772093,55201.61924722791,626,3.046590954141011
0.4,0.6,0.45,0.25,0.1,0.15,0.1,1569,4789.552837461233,55210.44716253877,626,3.0526149378338006
0.4,0.7,0.45,0.35,0.2,0.15,0.1,1566,6036.760137140751,53963.23986285925,679,3.85489153074122
0.4,0.7,0.45,0.35,0.15,0.15,0.1,1561,6040.231554895639,53959.76844510436,682,3.8694628794975268
0.4,0.7,0.45,0.35,0.1,0.15,0.1,1560,6090.146738797426,53909.853261202574,684,3.9039402171778375
0.4,0.6,0.45,0.45,0.2,0.1,0.1,1544,5752.737913012505,54247.262086987495,609,3.7258665239718294
0.4,0.6,0.45,0.45,0.15,0.1,0.1,1540,5791.056116074324,54208.943883925676,614,3.7604260493989115
0.4,0.6,0.45,0.45,0.1,0.1,0.1,1533,5747.354101210833,54252.64589878917,614,3.749089433275168
0.4,0.8,0.45,0.45,0.2,0.15,0.1,1494,6912.534849256277,53087.46515074372,728,4.626864022259891
0.4,0.8,0.45,0.45,0.15,0.15,0.1,1487,6901.769515931606,53098.230484068394,728,4.641405188925089
0.4,0.8,0.45,0.45,0.1,0.15,0.1,1479,6887.53675276041,53112.46324723959,729,4.656887594834625
0.45,0.6,0.45,0.45,0.2,0.15,0.1,1478,6339.563790261745,53660.436209738255,551,4.289285379067487
0.45,0.6,0.45,0.45,0.15,0.15,0.1,1474,6311.053651273251,53688.94634872675,552,4.28158320981903
0.45,0.6,0.45,0.45,0.1,0.15,0.1,1469,6346.611964970827,53653.38803502917,557,4.3203621272776225
0.4,0.7,0.45,0.25,0.2,0.15,0.1,1460,5027.031835734844,54972.968164265156,657,3.4431724902293452
0.4,0.7,0.45,0.25,0.15,0.15,0.1,1457,5045.2658224105835,54954.73417758942,658,3.4627768170285407
0.4,0.7,0.45,0.45,0.2,0.1,0.1,1448,5821.600767880678,54178.39923211932,641,4.020442519254612
0.4,0.7,0.45,0.25,0.1,0.15,0.1,1444,4983.124115258455,55016.875884741545,658,3.4509169773258
0.4,0.7,0.45,0.45,0.15,0.1,0.1,1443,5860.573070257902,54139.4269297421,643,4.061381199069925
0.4,0.7,0.45,0.45,0.1,0.1,0.1,1438,5844.629577130079,54155.37042286992,644,4.064415561286564
0.4,0.6,0.45,0.35,0.2,0.1,0.1,1433,4647.196924060583,55352.80307593942,587,3.2429845945991507
0.4,0.6,0.45,0.35,0.15,0.1,0.1,1426,4667.103803217411,55332.89619678259,589,3.2728638171230093
0.4,0.6,0.45,0.35,0.1,0.1,0.1,1420,4658.629168540239,55341.37083145976,590,3.280724766577633
0.4,0.8,0.45,0.35,0.2,0.15,0.1,1400,6002.606963932514,53997.393036067486,714,4.287576402808939
0.4,0.8,0.45,0.35,0.15,0.15,0.1,1395,5999.362402796745,54000.637597203255,715,4.30061820989014
0.4,0.8,0.45,0.35,0.1,0.15,0.1,1387,5987.2813988626,54012.7186011374,716,4.316713337319827
0.45,0.7,0.45,0.45,0.2,0.15,0.1,1381,6607.696271121502,53392.3037288785,579,4.784718516380523
0.45,0.6,0.45,0.35,0.2,0.15,0.1,1370,5211.014392912388,54788.98560708761,532,3.803660140811962
0.45,0.7,0.45,0.45,0.15,0.15,0.1,1367,6510.421159774065,53489.578840225935,580,4.762561199542111
0.45,0.6,0.45,0.35,0.15,0.15,0.1,1363,5227.614182621241,54772.38581737876,534,3.8353735749238744
0.45,0.7,0.45,0.45,0.1,0.15,0.1,1362,6501.229019492865,53498.770980507135,581,4.773295902711355
0.45,0.6,0.45,0.35,0.1,0.15,0.1,1359,5232.683476179838,54767.31652382016,535,3.8503925505370407
0.4,0.7,0.45,0.35,0.2,0.1,0.1,1349,4878.142631053925,55121.857368946075,618,3.6161175915892696
0.4,0.7,0.45,0.35,0.15,0.1,0.1,1348,4889.571961760521,55110.42803823948,620,3.627278903383176
0.4,0.7,0.45,0.35,0.1,0.1,0.1,1343,4889.239445060492,55110.76055493951,620,3.640535699970582
0.4,0.8,0.45,0.25,0.2,0.15,0.1,1317,5064.660802692175,54935.339197307825,694,3.845604254132251
0.4,0.6,0.45,0.25,0.2,0.1,0.1,1313,3695.598243445158,56304.40175655484,560,2.814621662943761
