date,price,score,q_score,q_cash,q_exec,buy_lots,buy_shares,cost,cash_after,contribution_cum,shares_after,shortage,value,bb,trend,risk
2014-01-02,0.3738436698913574,0.45,0.08333333333333331,1.0,0.45,2,2,0.7476873397827148,499.2523126602173,500.0,2,1.0,0.0,0.0,0.0,0.0
2014-01-03,0.3693651258945465,0.6237430003808847,0.3729050006348078,1.0,0.6237430003808847,3,3,1.1080953776836395,498.14421728253365,500.0,5,0.9985063314324334,0.054255891636199136,0.0,1.0,0.0
2014-01-06,0.37431517243385315,0.44831923799125517,0.08053206331875859,1.0,0.44831923799125517,2,2,0.7486303448677063,497.39558693766594,500.0,7,0.9962649733139004,0.0,0.0,0.0,0.0
2014-01-07,0.3804437518119812,0.447642768537836,0.07940461422972667,1.0,0.447642768537836,2,2,0.7608875036239624,496.634699434042,500.0,9,0.9947617078618578,0.0,0.0,0.0,0.0
2014-01-08,0.3856295943260193,0.44696042873451286,0.07826738122418807,1.0,0.44696042873451286,2,2,0.7712591886520386,495.86344024538994,500.0,11,0.9932453971878064,0.0,0.0,0.0,0.0
2014-01-09,0.3712508976459503,0.6180364538310735,0.3633940897184559,1.0,0.6180364538310735,3,3,1.113752692937851,494.7496875524521,500.0,14,0.991752765379808,0.048328243133688664,0.0,1.0,0.0
2014-01-10,0.37077945470809937,0.6175412734822088,0.3625687891370146,1.0,0.6175412734822088,3,3,1.112338364124298,493.6373491883278,500.0,17,0.9895144391641937,0.04946616857404791,0.0,1.0,0.0
2014-01-13,0.36205801367759705,0.6620526064638216,0.43675434410636926,1.0,0.6620526064638216,3,3,1.0861740410327911,492.551175147295,500.0,20,0.9873077708197738,0.15058691021094084,0.0,1.0,0.0
2014-01-14,0.37337231636047363,0.4432804620520132,0.072134103420022,1.0,0.4432804620520132,2,2,0.7467446327209473,491.80443051457405,500.0,22,0.9850676934489182,0.0,0.0,0.0,0.0
2014-01-15,0.377379447221756,0.4426008300370045,0.07100138339500749,1.0,0.4426008300370045,2,2,0.754758894443512,491.04967162013054,500.0,24,0.9835574000822322,0.0,0.0,0.0,0.0
2014-01-16,0.3785580098628998,0.44191817524740334,0.06986362541233887,1.0,0.44191817524740334,2,2,0.7571160197257996,490.29255560040474,500.0,26,0.9820403894386741,0.0,0.0,0.0,0.0
2014-01-17,0.3769080936908722,0.4412385623043327,0.06873093717388784,1.0,0.4412385623043327,2,2,0.7538161873817444,489.538739413023,500.0,28,0.9805301384540727,0.0,0.0,0.0,0.0
2014-01-21,0.3783223330974579,0.4405552409535056,0.06759206825584267,1.0,0.4405552409535056,2,2,0.7566446661949158,488.7820947468281,500.0,30,0.9790116465633458,0.0,0.0,0.0,0.0
2014-01-22,0.37785083055496216,0.4398727498090121,0.06645458301502011,1.0,0.4398727498090121,2,2,0.7557016611099243,488.02639308571815,500.0,32,0.9774949995755824,0.0,0.0,0.0,0.0
2014-01-23,0.37643659114837646,0.4391938880228174,0.06532314670469562,1.0,0.4391938880228174,2,2,0.7528731822967529,487.2735199034214,500.0,34,0.975986417828483,0.0,0.0,0.0,0.0
2014-01-24,0.366772323846817,0.6344320809792796,0.390720134965466,1.0,0.6344320809792796,3,3,1.100316971540451,486.17320293188095,500.0,37,0.9745402273271112,0.1019755081823989,0.0,1.0,0.0
2014-01-27,0.36441510915756226,0.6420374908936853,0.4033958181561422,1.0,0.6420374908936853,3,3,1.0932453274726868,485.07995760440826,500.0,40,0.9723642058566924,0.1210524405737194,0.0,1.0,0.0
2014-01-28,0.367950975894928,0.6166282420030055,0.36104707000500913,1.0,0.6166282420030055,3,3,1.103852927684784,483.9761046767235,500.0,43,0.9701654139945795,0.06678623490098819,0.0,1.0,0.0
2014-01-29,0.36441510915756226,0.6321929236666871,0.38698820611114515,1.0,0.6321929236666871,3,3,1.0932453274726868,482.8828593492508,500.0,46,0.9679975800982945,0.10354225027212122,0.0,1.0,0.0
2014-01-30,0.37054377794265747,0.5932330738823783,0.32205512313729723,1.0,0.5932330738823783,3,3,1.1116313338279724,481.7712280154228,500.0,49,0.9657786740142049,0.019183712391080254,0.0,1.0,0.0
2014-01-31,0.37007245421409607,0.5224425841229111,0.20407097353818515,1.0,0.5224425841229111,3,3,1.1102173626422882,480.66101065278053,500.0,52,0.9635645675569674,0.023100031859698784,0.0,1.0,0.7155648561458867
2014-02-03,0.3651222288608551,0.5806250830010338,0.30104180500172295,1.0,0.5806250830010338,3,3,1.0953666865825653,979.565643966198,1000.0,55,0.9806999353691613,0.0812714195715636,0.0,1.0,0.4726202672229245
2014-02-04,0.3672437071800232,0.5714481007763281,0.2857468346272135,1.0,0.5714481007763281,3,3,1.1017311215400696,978.4639128446579,1000.0,58,0.9796069582927691,0.04772162366064304,0.0,1.0,0.4084976110270737
2014-02-05,0.36394375562667847,0.5881164266210632,0.313527377701772,1.0,0.5881164266210632,3,3,1.0918312668800354,977.3720815777779,1000.0,61,0.9785323869071284,0.08358527447175994,0.0,1.0,0.398365209994366
2014-02-06,0.36865800619125366,0.5663925040302842,0.27732084005047364,1.0,0.5663925040302842,3,3,1.105974018573761,976.2661075592041,1000.0,64,0.9774305520308313,0.018013198996562133,0.0,1.0,0.3155718393204283
2014-02-07,0.3740794062614441,0.43030800185265894,0.0505133364210982,1.0,0.43030800185265894,2,2,0.7481588125228882,975.5179487466812,1000.0,66,0.9762956590674484,0.0,0.0,0.0,0.09025044727692855
2014-02-10,0.3752579689025879,0.42979387484026876,0.04965645806711457,1.0,0.42979387484026876,2,2,0.7505159378051758,974.767432808876,1000.0,68,0.9755242389503656,0.0,0.0,0.0,0.0919203268739579
2014-02-11,0.38303664326667786,0.4335759961614723,0.055959993602453795,1.0,0.4335759961614723,2,2,0.7660732865333557,974.0013595223427,1000.0,70,0.9747035929393294,0.0,0.0,0.0,0.050406206612259474
2014-02-12,0.39670807123184204,0.4255275808063898,0.04254596801064964,1.0,0.4255275808063898,2,2,0.7934161424636841,973.207943379879,1000.0,72,0.9737949003999867,0.0,0.0,0.0,0.12680124373604196
2014-02-13,0.4092009961605072,0.4143241362215803,0.023873560369300495,1.0,0.4143241362215803,2,2,0.8184019923210144,972.389541387558,1000.0,74,0.9728072637454993,0.0,0.0,0.0,0.2343913246389442
2014-02-14,0.422165185213089,0.4047431174485376,0.007905195747562599,1.0,0.4047431174485376,2,2,0.844330370426178,971.5452110171318,1000.0,76,0.9717383734209929,0.0,0.0,0.0,0.32539150590909216
2014-02-18,0.42192956805229187,0.40463726892736024,0.007728781545600361,1.0,0.40463726892736024,2,2,0.8438591361045837,970.7013518810272,1000.0,78,0.9706849082615583,0.0,0.0,0.0,0.32170939790341024
2014-02-19,0.42758679389953613,0.40457843739139754,0.007630728985662527,1.0,0.40457843739139754,2,2,0.8551735877990723,969.8461782932281,1000.0,80,0.9696024843453361,0.0,0.0,0.0,0.31742680564003734
2014-03-13,0.4200463593006134,0.5171102742756927,0.19518379045948775,1.0,0.5171102742756927,3,3,1.2601390779018402,1468.5860392153263,1500.0,83,0.9773222164205705,0.0607006153031911,0.0,1.0,1.0
2014-03-14,0.4219403862953186,0.5050775598194348,0.17512926636572465,1.0,0.5050775598194348,3,3,1.2658211588859558,1467.3202180564404,1500.0,86,0.9764890216717689,0.03479444459364181,0.0,1.0,1.0
2014-03-17,0.4219403862953186,0.5140355296981588,0.19005921616359797,1.0,0.5140355296981588,3,3,1.2658211588859558,1466.0543968975544,1500.0,89,0.9756553724087793,0.031501565670081756,0.0,1.0,0.8918509243732866
2014-03-26,0.42691290378570557,0.5379911619617254,0.2299852699362089,1.0,0.5379911619617254,3,3,1.2807387113571167,1464.7736581861973,1500.0,92,0.9744832805191217,0.036555219490413335,0.0,1.0,0.6697616304256537
2014-03-27,0.42123013734817505,0.5598000855091642,0.2663334758486069,1.0,0.5598000855091642,3,3,1.2636904120445251,1463.5099677741528,1500.0,95,0.973674726874237,0.09303316615208145,0.0,1.0,0.7021846635267917
2014-03-28,0.42383474111557007,0.5437048536959673,0.23950808949327884,1.0,0.5437048536959673,3,3,1.2715042233467102,1462.238463550806,1500.0,98,0.9728487549128008,0.05678895183065311,0.0,1.0,0.6963211433858696
2014-03-31,0.42407143115997314,0.5398329335858757,0.2330548893097928,1.0,0.5398329335858757,3,3,1.2722142934799194,1460.9662492573261,1500.0,101,0.9720201712358408,0.04893321495084989,0.0,1.0,0.6959609019813502
2014-04-04,0.42975419759750366,0.49916632073794365,0.16527720122990605,1.0,0.49916632073794365,2,2,0.8595083951950073,1960.1067408621311,2000.0,103,0.9782105303477723,0.019936849069880285,0.0,1.0,1.0
2014-04-07,0.43117478489875793,0.4914160897022233,0.15236014950370544,1.0,0.4914160897022233,2,2,0.8623495697975159,1959.2443912923336,2000.0,105,0.9777805264513383,0.0031441173313800867,0.0,1.0,1.0
2014-04-11,0.4290437698364258,0.5337914218224391,0.22298570303739848,1.0,0.5337914218224391,3,3,1.2871313095092773,1957.9572599828243,2000.0,108,0.9772281748574992,0.054239663387228944,0.0,1.0,0.8036910538768862
2014-04-30,0.4373309910297394,0.5472544876136151,0.24542414602269175,1.0,0.5472544876136151,3,3,1.3119929730892181,1956.645267009735,2000.0,111,0.976226291686835,0.03319524145750749,0.0,1.0,0.5698520230133903
2014-05-01,0.4396989643573761,0.5364433065445476,0.22740551090757938,1.0,0.5364433065445476,3,3,1.3190968930721283,2455.326170116663,2500.0,114,0.9804550751262147,0.00570246661519067,0.0,1.0,0.5732758723908487
2014-05-02,0.43638405203819275,0.552500274873585,0.2541671247893083,1.0,0.552500274873585,3,3,1.3091521561145782,2454.0170179605484,2500.0,117,0.9799434104194714,0.03925812186430963,0.0,1.0,0.5614041465411646
2014-05-06,0.43212196230888367,0.5657899241925595,0.27631654032093245,1.0,0.5657899241925595,3,3,1.296365886926651,2452.7206520736217,2500.0,120,0.9794448247769411,0.08072599318707428,0.0,1.0,0.6128694389124749
2014-05-07,0.43259555101394653,0.5888635662919125,0.31477261048652083,1.0,0.5888635662919125,3,3,1.2977866530418396,2451.42286542058,2500.0,123,0.9789480208638327,0.06825787866283961,0.0,1.0,0.3237908849509008
2014-05-08,0.43804141879081726,0.5490709897994952,0.2484516496658253,1.0,0.5490709897994952,3,3,1.3141242563724518,2450.1087411642075,2500.0,126,0.9784242586054346,0.005585808064811998,0.0,1.0,0.43733540202115684
2014-05-09,0.4273862838745117,0.5471176850691991,0.2451961417819985,1.0,0.5471176850691991,3,3,1.2821588516235352,2448.826582312584,2500.0,129,0.9779515172278052,0.11524921468981739,0.0,1.0,0.9482264429373097
2014-05-13,0.43283241987228394,0.5125318748283914,0.18755312471398555,1.0,0.5125318748283914,3,3,1.2984972596168518,2447.528085052967,2500.0,132,0.9774383798382623,0.05041023089149623,0.0,1.0,1.0
2014-05-14,0.42857035994529724,0.5300747127653304,0.21679118794221724,1.0,0.5300747127653304,3,3,1.2857110798358917,2446.242373973131,2500.0,135,0.9769572904256342,0.08987540460843325,0.0,1.0,1.0
2014-05-15,0.42620235681533813,0.5371631458062047,0.22860524301034119,1.0,0.5371631458062047,3,3,1.2786070704460144,2444.963766902685,2500.0,138,0.9764861144094489,0.10609865404878378,0.0,1.0,1.0
2014-05-16,0.4252554476261139,0.5369382130655624,0.2282303551092707,1.0,0.5369382130655624,3,3,1.2757663428783417,2443.688000559807,2500.0,141,0.9760171374921183,0.10606778043135373,0.0,1.0,1.0
2014-05-20,0.43387433886528015,0.49377734791511785,0.1562955798585297,1.0,0.49377734791511785,2,2,0.8677486777305603,2442.8202518820763,2500.0,143,0.9754770333938894,0.010694850861927912,0.0,1.0,1.0
2014-05-21,0.43387433886528015,0.49316563470873553,0.15527605784789253,1.0,0.49316563470873553,2,2,0.8677486777305603,2441.9525032043457,2500.0,145,0.9751342563645946,0.009678265210373299,0.0,1.0,1.0
2014-06-17,0.46646255254745483,0.40425268373774514,0.007087806229575204,1.0,0.40425268373774514,2,2,0.9329251050949097,2941.019578099251,3000.0,147,0.978090668204892,0.0,0.0,0.0,0.3588811695445624
