date,price,score,q_score,q_cash,q_exec,buy_lots,buy_shares,cost,cash_after,contribution_cum,shares_after,shortage,value,bb,trend,risk
2014-01-03,9.970666885375977,0.5056981944795201,0.1012694445082184,1.0,0.3708886111557529,2,2,19.941333770751953,480.05866622924805,500.0,2,1.0,0.016280555655772053,0.0,1.0,0.0
2014-01-06,9.800000190734863,0.5182539189227966,0.1240980344050847,1.0,0.3868686240835593,2,2,19.600000381469727,460.4586658477783,500.0,4,0.9600644699667586,0.09208958409837452,0.0,1.0,0.0
2014-01-07,9.957332611083984,0.47626379562380294,0.04775235567964169,1.0,0.33342664897574925,2,2,19.91466522216797,440.54400062561035,500.0,6,0.9201491684266422,0.01203310478422351,0.0,1.0,0.0
2014-01-09,9.835332870483398,0.4828454157356583,0.059718937701196906,1.0,0.34180325639083786,2,2,19.670665740966797,420.87333488464355,500.0,8,0.880283118247988,0.07070378385389313,0.0,1.0,0.0
2014-01-10,9.714667320251465,0.4859158631015842,0.0653015692756076,1.0,0.34571109849292536,2,2,19.42933464050293,401.4440002441406,500.0,10,0.8407763321286181,0.11898327673305119,0.0,1.0,0.0
2014-01-13,9.28933334350586,0.5368038695828083,0.15782521742328787,1.0,0.41047765219630156,2,2,18.57866668701172,382.8653335571289,500.0,12,0.8022316454435451,0.30292226765019303,0.0,1.0,0.0
2014-05-08,11.906000137329102,0.655800762614358,0.37418320475337824,1.0,0.5619282433273648,3,3,35.718000411987305,2347.1473331451416,2500.0,15,0.9342550907433066,0.6537470881548595,1.0,1.0,1.0
2014-05-09,12.150667190551758,0.6022251538093448,0.2767730069260815,1.0,0.49374110484825706,2,2,24.301334381103516,2322.845998764038,2500.0,17,0.9187023999460433,0.5162266109377993,1.0,1.0,1.0
2014-10-10,15.793999671936035,0.549727277591457,0.18132232289355815,1.0,0.4269256260254908,2,2,31.58799934387207,4791.257999420166,5000.0,19,0.9423504295398198,0.34258464929291427,1.0,1.0,1.0
2014-10-13,14.97266674041748,0.6149673993999596,0.29994072618174467,1.0,0.5099585083272213,3,3,44.91800022125244,4746.339999198914,5000.0,22,0.9362858165854707,0.5350496102715567,1.0,1.0,1.0
2014-10-14,15.137332916259766,0.579738247074834,0.23588772195424362,1.0,0.46512140536797053,2,2,30.27466583251953,4716.065333366394,5000.0,24,0.9269085445341557,0.4437721613939418,1.0,1.0,1.0
2014-12-16,13.187333106994629,0.4779025775811691,0.05073195923848926,1.0,0.3355123714669425,2,2,26.374666213989258,5689.690667152405,6000.0,26,0.9404930591330694,0.5678000196702712,0.0,1.0,1.0
2015-01-12,13.480667114257812,0.45024699416561353,0.0004490803011154968,1.0,0.3003143562107809,2,2,26.961334228515625,6162.729332923889,6500.0,28,0.9424689218916431,0.31360525214991963,0.0,1.0,0.6968948337446665
2015-01-14,12.845999717712402,0.5921943628810362,0.25853520523824763,1.0,0.48097464366677334,2,2,25.691999435424805,6137.037333488464,6500.0,30,0.9389582893715418,0.4673113188599903,1.0,1.0,1.0
2015-01-20,12.795332908630371,0.4518517661671023,0.0033668475765496523,1.0,0.3023567933035848,2,2,25.590665817260742,6111.446667671204,6500.0,32,0.936215442523221,0.3707147159626836,0.0,1.0,0.7778689465148214
2015-03-27,12.333333015441895,0.5315027530298244,0.1481868236905898,1.0,0.4037307765834129,2,2,24.66666603088379,7086.78000164032,7500.0,34,0.944153042127722,0.2887119665289195,1.0,1.0,1.0
2015-08-06,16.408666610717773,0.5441035769323819,0.17109741260433065,1.0,0.41976818882303146,2,2,32.81733322143555,9553.962668418884,10000.0,36,0.940286381665279,0.32858098099866956,1.0,1.0,1.0
2015-08-07,16.167333602905273,0.5548050082875895,0.19055456052288997,1.0,0.433388192366023,2,2,32.33466720581055,9521.628001213074,10000.0,38,0.937252271418851,0.36219060940283326,1.0,1.0,1.0
2015-08-24,14.591333389282227,0.6329634023599411,0.3326607315635292,1.0,0.5328625120944704,3,3,43.77400016784668,9477.854001045227,10000.0,41,0.9371981532720487,0.5855544248992117,1.0,1.0,1.0
2015-08-25,14.66866683959961,0.45648149451720693,0.011784535485830763,1.0,0.3082491748400816,2,2,29.33733367919922,9448.516667366028,10000.0,43,0.9329656701901087,0.5141243141447682,0.0,1.0,1.0
2015-08-26,14.989333152770996,0.46705790084550636,0.0310143651736479,1.0,0.3217100556215536,2,2,29.978666305541992,9418.538001060486,10000.0,45,0.9302528614119068,0.3794425218242232,0.0,1.0,0.7066774164356953
