threshold,score_mix_lambda,w_shortage,w_value,w_bb,w_trend,w_risk,shares,spent,cash,trades,avg_price
0.4,0.6,0.45,0.45,0.2,0.15,0.1,973,32371.403458595276,27628.596541404724,401,33.26968495230758
0.4,0.6,0.45,0.45,0.15,0.15,0.1,961,30188.33410835266,29811.66589164734,401,31.413459009732218
0.4,0.6,0.45,0.45,0.1,0.15,0.1,951,28421.131455421448,31578.868544578552,400,29.885522035143477
0.4,0.7,0.45,0.45,0.2,0.15,0.1,933,29528.392780303955,30471.607219696045,419,31.648866859918495
0.4,0.7,0.45,0.45,0.15,0.15,0.1,922,28303.25678253174,31696.74321746826,418,30.69767546912336
0.4,0.7,0.45,0.45,0.1,0.15,0.1,912,27071.09946537018,32928.90053462982,419,29.683223097993615
0.4,0.8,0.45,0.45,0.2,0.15,0.1,870,26285.104105949402,33714.8958940506,461,30.212763340171726
0.4,0.8,0.45,0.45,0.15,0.15,0.1,861,25152.620777130127,34847.37922286987,462,29.213264549512342
0.4,0.8,0.45,0.45,0.1,0.15,0.1,849,23410.80344104767,36589.19655895233,461,27.574562356946608
0.4,0.6,0.45,0.35,0.2,0.15,0.1,844,21185.18135547638,38814.81864452362,363,25.10092577663078
0.4,0.6,0.45,0.35,0.15,0.15,0.1,829,18511.546033859253,41488.45396614075,360,22.329971090300667
0.4,0.7,0.45,0.35,0.2,0.15,0.1,826,20019.795362472534,39980.204637527466,378,24.237040390402584
0.4,0.7,0.45,0.35,0.15,0.15,0.1,815,18065.386701583862,41934.61329841614,377,22.166118652250137
0.4,0.6,0.45,0.35,0.1,0.15,0.1,814,15743.75534248352,44256.24465751648,356,19.341222779463784
0.45,0.6,0.45,0.45,0.2,0.15,0.1,802,23219.430070877075,36780.569929122925,328,28.95190781904872
0.4,0.7,0.45,0.35,0.1,0.15,0.1,800,15453.465342521667,44546.53465747833,375,19.316831678152084
0.4,0.6,0.45,0.45,0.2,0.1,0.1,798,22971.728070259094,37028.271929740906,334,28.78662665446002
0.4,0.6,0.35,0.45,0.2,0.15,0.1,796,29822.11013317108,30177.88986682892,329,37.46496247885814
0.45,0.6,0.45,0.45,0.15,0.15,0.1,790,21231.17942237854,38768.82057762146,329,26.87491066123866
0.4,0.6,0.45,0.45,0.15,0.1,0.1,786,21175.280751228333,38824.71924877167,333,26.940560752198895
0.45,0.7,0.45,0.45,0.2,0.15,0.1,783,22084.765407562256,37915.234592437744,344,28.20531980531578
0.4,0.6,0.35,0.45,0.15,0.15,0.1,781,27585.44411468506,32414.55588531494,329,35.32067108154297
0.4,0.7,0.45,0.45,0.2,0.1,0.1,780,22053.10607433319,37946.89392566681,349,28.273212915811783
0.4,0.6,0.35,0.45,0.1,0.15,0.1,772,25857.639464378357,34142.36053562164,329,33.4943516377958
0.45,0.7,0.45,0.45,0.15,0.15,0.1,772,20832.802750587463,39167.19724941254,345,26.985495790916403
0.4,0.7,0.45,0.45,0.15,0.1,0.1,769,20777.486083984375,39222.513916015625,348,27.01883756044782
0.45,0.6,0.45,0.45,0.1,0.15,0.1,769,17683.442717552185,42316.557282447815,322,22.99537414506136
0.4,0.7,0.35,0.45,0.2,0.15,0.1,765,27175.546113967896,32824.453886032104,340,35.523589691461304
0.4,0.6,0.45,0.45,0.1,0.1,0.1,765,17453.768721580505,42546.231278419495,325,22.81538394977844
0.4,0.7,0.35,0.45,0.15,0.15,0.1,756,25990.01945209503,34009.98054790497,341,34.378332608591315
