date,price,score,q_score,q_cash,q_exec,buy_lots,buy_shares,cost,cash_after,contribution_cum,shares_after,shortage,value,bb,trend,risk
2014-01-02,10.006667137145996,0.45,0.08333333333333331,1.0,0.45,2,2,20.013334274291992,479.986665725708,500.0,2,1.0,0.0,0.0,0.0,0.0
2014-01-03,9.970666885375977,0.5893204206699666,0.3155340344499443,1.0,0.5893204206699666,3,3,29.91200065612793,450.0746650695801,500.0,5,0.9599870458330427,0.016280555655772053,0.0,1.0,0.0
2014-01-06,9.800000190734863,0.596512841556872,0.3275214025947867,1.0,0.596512841556872,3,3,29.40000057220459,420.6746644973755,500.0,8,0.9001611749168967,0.09208958409837452,0.0,1.0,0.0
2014-01-07,9.957332611083984,0.5335491487368785,0.2225819145614642,1.0,0.5335491487368785,3,3,29.871997833251953,390.80266666412354,500.0,11,0.8402983368532844,0.01203310478422351,0.0,1.0,0.0
2014-01-09,9.835332870483398,0.533050275288842,0.2217504588147366,1.0,0.533050275288842,3,3,29.505998611450195,361.29666805267334,500.0,14,0.7805190501213113,0.07070378385389313,0.0,1.0,0.0
2014-01-10,9.714667320251465,0.5281538360811598,0.21358972680193306,1.0,0.5281538360811598,3,3,29.144001960754395,332.15266609191895,500.0,17,0.7213585812250818,0.11898327673305119,0.0,1.0,0.0
2014-01-13,9.28933334350586,0.5850222292068988,0.308370382011498,1.0,0.5850222292068988,3,3,27.868000030517578,304.28466606140137,500.0,20,0.6637937972540267,0.30292226765019303,0.0,1.0,0.0
2014-03-21,15.259332656860352,0.43884321403531856,0.06473869005886423,1.0,0.43884321403531856,2,2,30.518665313720703,1273.7660007476807,1500.0,22,0.7936340399479073,0.07046199124168953,0.0,1.0,1.0
2014-03-24,14.678000450134277,0.5040206073549625,0.1733676789249374,1.0,0.5040206073549625,3,3,44.03400135040283,1229.7319993972778,1500.0,25,0.7741141311924122,0.23482055181861541,0.0,1.0,1.0
2014-03-25,14.696000099182129,0.4786287104955683,0.13104785082594717,1.0,0.4786287104955683,2,2,29.392000198364258,1200.3399991989136,1500.0,27,0.744431051032458,0.20807719451324933,0.0,1.0,1.0
2014-03-26,14.197333335876465,0.5286622506927352,0.21443708448789198,1.0,0.5286622506927352,3,3,42.592000007629395,1157.7479991912842,1500.0,30,0.7259343412902136,0.3377595491380867,0.0,1.0,1.0
2014-03-27,13.821332931518555,0.5536234999590621,0.25603916659843684,1.0,0.5536234999590621,3,3,41.463998794555664,1116.2840003967285,1500.0,33,0.6981579099989096,0.4210054232434507,0.0,1.0,1.0
2014-03-28,14.157999992370605,0.47821366839125845,0.13035611398543073,1.0,0.47821366839125845,2,2,28.31599998474121,1087.9680004119873,1500.0,35,0.6699308723482335,0.2816550574101186,0.0,1.0,1.0
