ticker,requested_at_jst,actual_bar_time_jst,Open,High,Low,Close,Adj Close,Volume,status
1443.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,253.0,259.0,249.0,255.0,254.0360870361328,91200.0,OK
4733.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,8484.0,8510.0,8418.0,8453.0,8374.6943359375,39900.0,OK
3046.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,5610.0,5610.0,5530.0,5530.0,5480.11328125,142600.0,OK
4519.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,8298.0,8328.0,8191.0,8243.0,8169.81787109375,1860500.0,OK
3994.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4657.0,4692.0,4587.0,4668.0,4668.0,498300.0,OK
3445.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3780.0,3835.0,3725.0,3770.0,3770.0,140800.0,OK
4194.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,10360.0,10375.0,10010.0,10010.0,10010.0,158600.0,OK
9603.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1325.0,1333.0,1313.0,1321.0,1321.0,314400.0,OK
3659.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3850.0,3855.0,3796.0,3827.0,3773.262451171875,959800.0,OK
4684.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4951.0,4951.0,4891.0,4922.0,4862.94091796875,824900.0,OK
7832.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4222.0,4237.0,4172.0,4172.0,4120.13525390625,1340300.0,OK
7550.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,9070.0,9115.0,8967.0,8975.0,8937.6044921875,277700.0,OK
9766.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,21715.0,21850.0,21330.0,21330.0,21179.505859375,285000.0,OK
7974.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,10820.0,10845.0,10560.0,10595.0,10391.4931640625,3616600.0,OK
6702.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4300.0,4360.0,4279.0,4329.0,4282.6083984375,5117000.0,OK
4307.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,6027.0,6045.0,5980.0,6021.0,5961.59619140625,1006700.0,OK
9843.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2734.0,2748.0,2706.5,2742.5,2726.502197265625,1810600.0,OK
3349.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,8036.0,8042.0,7943.0,7943.0,7883.26318359375,264700.0,OK
2791.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,5770.0,5770.0,5710.0,5720.0,5672.89404296875,65100.0,OK
9627.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,6759.0,6787.0,6676.0,6685.0,6594.35595703125,104900.0,OK
4478.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3040.0,3050.0,2988.0,3005.0,3005.0,367200.0,OK
464A.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1655.0,1659.0,1606.0,1616.0,1616.0,600800.0,OK
9158.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,866.0,869.0,843.0,848.0,848.0,207300.0,OK
7699.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,804.0,809.0,804.0,809.0,809.0,1700.0,OK
4375.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,865.0,865.0,839.0,842.0,842.0,206300.0,OK
6574.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,115.0,115.0,108.0,112.0,111.04273223876953,2682100.0,OK
2986.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2730.0,2823.333251953125,2716.666748046875,2793.333251953125,2735.302734375,339000.0,OK
5590.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1037.0,1046.0,994.0,1006.0,1006.0,193400.0,OK
6030.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1661.0,1662.0,1620.0,1644.0,1644.0,37800.0,OK
2586.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,123.0,126.0,120.0,124.0,124.0,4643100.0,OK
6094.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,524.0,524.0,512.0,519.0,519.0,12600.0,OK
2998.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,974.0,974.0,918.0,930.0,919.8912963867188,181900.0,OK
6521.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1520.0,1567.0,1512.0,1512.0,1512.0,106800.0,OK
9162.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,285.0,285.0,280.0,281.0,281.0,12500.0,OK
3652.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2447.0,2447.0,2327.0,2360.0,2360.0,26500.0,OK
4170.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,172.0,174.0,171.0,173.0,173.0,36400.0,OK
9348.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,459.0,460.0,447.0,448.0,448.0,903500.0,OK
2160.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2463.0,2508.0,2402.0,2412.0,2412.0,996600.0,OK
4582.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,90.0,91.0,88.0,90.0,90.0,797500.0,OK
7777.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,368.0,381.0,357.0,359.0,359.0,5738700.0,OK
9166.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,734.0,745.0,701.0,701.0,696.22314453125,1951100.0,OK
7806.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4780.0,4800.0,4700.0,4730.0,4730.0,141300.0,OK
3479.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1819.0,1819.0,1790.0,1795.0,1795.0,80200.0,OK
3491.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1800.0,1828.0,1768.0,1771.0,1771.0,313700.0,OK
4575.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,825.0,826.0,799.0,803.0,803.0,252000.0,OK
4592.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1699.0,1740.0,1657.0,1690.0,1690.0,1595300.0,OK
3773.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1090.0,1090.0,1068.0,1077.0,1040.8843994140625,69800.0,OK
7803.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,293.0,298.0,292.0,296.0,293.1647644042969,659100.0,OK
4628.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,11020.0,11400.0,11020.0,11120.0,10885.7880859375,2100.0,OK
2782.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3465.0,3505.0,3455.0,3480.0,3445.243408203125,123000.0,OK
8871.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3330.0,3330.0,3310.0,3310.0,3261.035400390625,21000.0,OK
8928.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2212.0,2219.0,2211.0,2219.0,2184.6708984375,5100.0,OK
3437.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3400.0,3400.0,3400.0,3400.0,3341.81201171875,100.0,OK
2790.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2200.0,2242.0,2166.0,2223.0,2194.309814453125,21000.0,OK
3944.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2399.0,2399.0,2350.0,2350.0,2326.4716796875,1800.0,OK
3690.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,565.0,570.0,564.0,570.0,570.0,5400.0,OK
2689.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,2043.0,2058.0,2043.0,2045.0,1963.60693359375,1100.0,OK
4624.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,3570.0,3570.0,3570.0,3570.0,3545.747314453125,500.0,OK
3710.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,574.0,576.0,573.0,576.0,576.0,1400.0,OK
3951.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,876.0,876.0,869.0,875.0,855.3370971679688,27700.0,OK
3958.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,548.0,557.0,546.0,557.0,546.9458618164062,6300.0,OK
4623.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1728.0,1728.0,1724.0,1724.0,1694.27587890625,400.0,OK
3955.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1004.0,1010.0,1004.0,1009.0,979.0297241210938,8500.0,OK
3067.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,442.0,445.0,440.0,441.0,441.0,17600.0,OK
3484.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1175.0,1207.0,1171.0,1195.0,1161.2821044921875,18700.0,OK
3020.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,4540.0,4545.0,4425.0,4425.0,4335.4931640625,4100.0,OK
3435.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1315.0,1323.0,1315.0,1322.0,1281.4715576171875,2100.0,OK
3134.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,475.0,484.0,473.0,478.0,457.55322265625,54900.0,OK
3943.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1378.0,1399.0,1370.0,1399.0,1374.55517578125,6500.0,OK
3698.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1139.0,1139.0,1096.0,1098.0,1082.943115234375,42700.0,OK
4635.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1479.0,1479.0,1427.0,1435.0,1398.583740234375,62600.0,OK
3096.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1475.0,1490.0,1475.0,1486.0,1477.454833984375,4100.0,OK
3426.T,2025-12-31T00:00:00+09:00,2025-12-30T00:00:00+09:00,1320.0,1323.0,1320.0,1323.0,1307.769775390625,300.0,OK
